Index,Frequency,Percentage,Word,Desc,Code,Translit,Len,RuUpper,RuUpperLen,RuSymbols
45,2249.87,33.19,для, предл род ,4127893,DLJA,4,ДЛЯ,3,True
46,2205.73,33.41,вот, част ,207394,VOT,3,ВОТ,3,False
47,2177.45,33.63,кто, мест сущ им ,4014871,KTO,3,КТО,3,False
48,2145.99,33.84,да, част ,207432,DA,2,ДА,2,True
49,2059.32,34.05,говорить, гл несов пер/не инф ,59396,GOVORIT',8,ГОВОРИТЬ,8,True
50,2042.67,34.25,год, сущ неод ед муж им ,24411,GOD,3,ГОД,3,True
51,2011.33,34.45,знать, гл несов пер/не инф ,60446,ZNAT',5,ЗНАТЬ,5,True
52,1992.41,34.65,мой, мест прил ед муж им ,4013664,MOJ,3,МОЙ,3,True
53,1991.74,34.85,до, предл род ,4127894,DO,2,ДО,2,True
54,1977.42,35.05,или, союз ,207135,ILI,3,ИЛИ,3,True
55,1974.42,35.25,если, союз ,207114,ESLI,4,ЕСЛИ,4,True
56,1862.46,35.43,время, сущ неод ед ср им ,46283,VREMJA,6,ВРЕМЯ,5,True
57,1787.85,35.61,рука, сущ неод ед жен им ,17271,RUKA,4,РУКА,4,False
58,1751.61,35.79,нет, част ,207556,NET,3,НЕТ,3,False
59,1744.2,35.96,самый, мест прил ед муж им ,4014042,SAMYJ,5,САМЫЙ,5,True
60,1660.28,36.13,ни, союз ,207211,NI,2,НИ,2,True
61,1656.73,36.29,стать, гл сов непер инф ,96297,STAT',5,СТАТЬ,5,True
62,1630.96,36.46,большой, прл ед муж им ,47387,BOL'SHOJ,8,БОЛЬШОЙ,7,True
63,1618.78,36.62,даже, част ,207447,DAZHE,5,ДАЖЕ,4,True
64,1576.73,36.78,другой, мест прил ед муж им ,4014167,DRUGOJ,6,ДРУГОЙ,6,True
65,1568.9,36.93,наш, мест прил ед муж им ,4013714,NASH,4,НАШ,3,True
66,1531.07,37.09,свой, мест прил ед муж им ,4013764,SVOJ,4,СВОЙ,4,True
67,1507.99,37.24,ну, част ,207568,NU,2,НУ,2,False
68,1482.47,37.39,под, предл тв ,4127922,POD,3,ПОД,3,True
69,1471.94,37.53,где, мест нар ,4013983,GDE,3,ГДЕ,3,True
70,1453.57,37.68,дело, сущ неод ед ср им ,38375,DELO,4,ДЕЛО,4,True
71,1436.68,37.82,есть, гл несов перех инф ,59802,EST',4,ЕСТЬ,4,True
72,1423.7,37.96,сам, мест прил ед муж им ,4014017,SAM,3,САМ,3,False
73,1409.69,38.11,раз, сущ неод ед муж им ,31539,RAZ,3,РАЗ,3,False
74,1408.22,38.25,чтобы, союз ,207330,CHTOBY,6,ЧТОБЫ,5,True
75,1371.55,38.38,два, числ кол им ,4015045,DVA,3,ДВА,3,True
76,1361.94,38.52,там, нар обст места ,205738,TAM,3,ТАМ,3,False
77,1345.29,38.65,чем, союз ,207326,CHEM,4,ЧЕМ,3,True
78,1329.93,38.79,глаз, сущ неод ед муж им ,24369,GLAZ,4,ГЛАЗ,4,True
79,1317.07,38.92,жизнь, сущ неод ед жен им ,5885,ZHIZN',6,ЖИЗНЬ,5,True
80,1292.77,39.05,первый, числ поряд ед муж им ,4015428,PERVYJ,6,ПЕРВЫЙ,6,True
81,1286.04,39.18,день, сущ неод ед муж им ,129068,DEN',4,ДЕНЬ,4,True
82,1262.47,39.3,тута, сущ неод ед жен им ,159837,TUTA,4,ТУТА,4,False
83,1236.4,39.43,во, предл пр ,206798,VO,2,ВО,2,False
84,1232.17,39.55,ничто, мест сущ им ,4014337,NICHTO,6,НИЧТО,5,True
85,1216.99,39.67,потом, нар обст врем ,204267,POTOM,5,ПОТОМ,5,True
86,1214.24,39.79,очень, нар опред степ ,202983,OCHEN',6,ОЧЕНЬ,5,True
87,1195.33,39.91,со, предл тв ,206996,SO,2,СО,2,False
88,1189.94,40.03,хотеть, гл несов пер/не инф ,67146,HOTET',6,ХОТЕТЬ,6,True
89,1184.49,40.15,ли, част ,207519,LI,2,ЛИ,2,True
90,1171.45,40.27,при, предл пр ,4127923,PRI,3,ПРИ,3,True
91,1161.9,40.38,голова, сущ неод ед жен им ,4121,GOLOVA,6,ГОЛОВА,6,True
92,1160.62,40.5,надо, предл тв ,217761,NADO,4,НАДО,4,True
93,1121.38,40.61,без, предл род ,4127890,BEZ,3,БЕЗ,3,True
94,1062.19,40.72,видеть, гл несов пер/не инф ,58480,VIDET',6,ВИДЕТЬ,6,True
95,1052.83,40.82,идти, гл несов непер инф ,60488,IDTI,4,ИДТИ,4,True
96,1043.22,40.93,теперь, нар обст врем ,205761,TEPER',6,ТЕПЕРЬ,6,True
97,1035.69,41.03,тоже, нар опред спос ,205798,TOZHE,5,ТОЖЕ,4,True
98,1030.91,41.13,стоять, гл несов непер инф ,66139,STOJAT',7,СТОЯТЬ,6,True
99,1025.1,41.24,друг, сущ одуш ед муж им ,25149,DRUG,4,ДРУГ,4,True
100,1022.96,41.34,дом, сущ неод ед муж им ,25071,DOM,3,ДОМ,3,True
101,1009.61,41.44,сейчас, нар обст врем ,205252,SEJCHAS,7,СЕЙЧАС,6,True
102,989.04,41.54,можно, предик ,208553,MOZHNO,6,МОЖНО,5,True
103,971.66,41.64,после, предл род ,4128157,POSLE,5,ПОСЛЕ,5,True
104,946.32,41.73,слово, сущ неод ед ср им ,44471,SLOVO,5,СЛОВО,5,True
105,941.3,41.82,здесь, нар обст места ,200470,ZDES',5,ЗДЕСЬ,5,True
106,936.4,41.92,думать, гл несов пер/не инф ,59774,DUMAT',6,ДУМАТЬ,6,True
107,935.42,42.01,место, сущ неод ед ср им ,40175,MESTO,5,МЕСТО,5,False
108,934.32,42.11,спросить, гл сов пер/не инф ,96145,SPROSIT',8,СПРОСИТЬ,8,True
109,931.26,42.2,через, предл вин ,4127931,CHEREZ,6,ЧЕРЕЗ,5,True
110,915.59,42.29,лицо, сущ ед ср им ,40037,LITSO,5,ЛИЦО,4,True
111,912.78,42.38,что, мест сущ ед ср им ,4014877,CHTO,4,ЧТО,3,True
112,890.13,42.47,тогда, нар обст врем ,205796,TOGDA,5,ТОГДА,5,True
113,884.07,42.56,ведь, част ,207385,VED',4,ВЕДЬ,4,True
114,853.71,42.64,хороший, прл ед муж им ,57384,HOROSHIJ,8,ХОРОШИЙ,7,True
115,844.04,42.73,каждый, мест прил ед муж им ,4014092,KAZHDYJ,7,КАЖДЫЙ,6,True
116,840.18,42.81,новый, прл ед муж им ,52724,NOVYJ,5,НОВЫЙ,5,True
117,834.98,42.9,жить, гл несов непер инф ,59851,ZHIT',5,ЖИТЬ,4,True
118,830.26,42.98,должный, прл ед муж им ,48878,DOLZHNYJ,8,ДОЛЖНЫЙ,7,True
119,810.06,43.06,смотреть, гл несов пер/не инф ,65719,SMOTRET',8,СМОТРЕТЬ,8,True
120,791.15,43.14,почему, нар вопр ,204284,POCHEMU,7,ПОЧЕМУ,6,True
121,782.21,43.22,потому, нар обст причин ,204269,POTOMU,6,ПОТОМУ,6,True
122,772.97,43.29,сторона, сущ неод ед жен им ,19197,STORONA,7,СТОРОНА,7,False
123,764.4,43.37,просто, част ,207614,PROSTO,6,ПРОСТО,6,True
124,762.75,43.45,нога, сущ неод ед жен им ,12083,NOGA,4,НОГА,4,True
125,755.04,43.52,сидеть, гл несов пер/не инф ,184127,SIDET',6,СИДЕТЬ,6,True
126,734.71,43.6,понять, гл сов пер/не инф ,63243,PONJAT',7,ПОНЯТЬ,6,True
127,733.61,43.67,иметь, гл несов перех инф ,60628,IMET',5,ИМЕТЬ,5,True
128,732.33,43.74,конечный, прл ед муж им ,50338,KONECHNYJ,9,КОНЕЧНЫЙ,8,True
129,722.47,43.82,делать, гл несов пер/не инф ,59515,DELAT',6,ДЕЛАТЬ,6,True
130,713.35,43.89,вдруг, нар опред спос ,199122,VDRUG,5,ВДРУГ,5,True
131,710.17,43.96,над, предл тв ,4127908,NAD,3,НАД,3,True
132,701.05,44.03,взять, гл сов пер/не инф ,58669,VZJAT',6,ВЗЯТЬ,5,True
133,700.37,44.1,никто, мест сущ им ,4014331,NIKTO,5,НИКТО,5,True
134,695.54,44.17,сделать, гл сов пер/не инф ,65502,SDELAT',7,СДЕЛАТЬ,7,True
135,694.56,44.24,дверь, сущ неод ед жен им ,4691,DVER',5,ДВЕРЬ,5,True
136,691.44,44.31,перед, предл тв ,4127913,PERED,5,ПЕРЕД,5,True
137,690.34,44.38,нужный, прл ед муж им ,52759,NUZHNYJ,7,НУЖНЫЙ,6,True
138,684.15,44.44,понимать, гл несов пер/не инф ,63460,PONIMAT',8,ПОНИМАТЬ,8,True
139,681.64,44.51,казаться, гл несов непер воз инф ,197838,KAZAT'SJA,9,КАЗАТЬСЯ,8,True
140,675.46,44.58,работа, сущ неод ед жен им ,16371,RABOTA,6,РАБОТА,6,True
141,674.85,44.65,три, числ кол им ,4015054,TRI,3,ТРИ,3,True
142,668.91,44.71,ваш, мест прил ед муж им ,4013739,VASH,4,ВАШ,3,True
143,661.32,44.78,уж, част ,207693,UZH,3,УЖ,2,True
144,655.02,44.85,земля, сущ неод ед жен им ,6467,ZEMLJA,6,ЗЕМЛЯ,5,True
145,653.3,44.91,конец, сущ неод ед муж им ,131651,KONETS,6,КОНЕЦ,5,True
146,645.71,44.98,несколько, числ неопр им ,4016651,NESKOL'KO,9,НЕСКОЛЬКО,9,True
147,643.82,45.04,час, сущ неод ед муж им ,35277,CHAS,4,ЧАС,3,True
148,632.06,45.1,голос, сущ неод ед муж им ,24435,GOLOS,5,ГОЛОС,5,True
149,630.59,45.17,город, сущ неод ед муж им ,24483,GOROD,5,ГОРОД,5,True
150,630.17,45.23,последний, прл ед муж им ,54064,POSLEDNIJ,9,ПОСЛЕДНИЙ,9,True
151,629.68,45.29,пока, союз ,207231,POKA,4,ПОКА,4,True
152,625.21,45.35,хорошо, нар опред кач ,206247,HOROSHO,7,ХОРОШО,6,True
153,619.33,45.42,давать, гл несов пер/не инф ,59473,DAVAT',6,ДАВАТЬ,6,True
154,618.29,45.48,вода, сущ неод ед жен им ,3227,VODA,4,ВОДА,4,True
155,617.92,45.54,более, нар опред степ ,198737,BOLEE,5,БОЛЕЕ,5,True
156,615.35,45.6,хотя, союз ,207322,HOTJA,5,ХОТЯ,4,True
157,614.25,45.66,всегда, нар обст врем ,199496,VSEGDA,6,ВСЕГДА,6,True
158,607.09,45.72,второй, числ поряд ед муж им ,4015435,VTOROJ,6,ВТОРОЙ,6,True
159,603.66,45.78,куда, мест нар ,4013985,KUDA,4,КУДА,4,True
160,598.46,45.84,пойти, гл сов непер инф ,63229,POJTI,5,ПОЙТИ,5,True
161,595.89,45.9,стол, сущ неод ед муж им ,33339,STOL,4,СТОЛ,4,True
162,593.5,45.96,ребенок, сущ одуш ед муж им ,36875,REBENOK,7,РЕБЕНОК,7,True
163,588.54,46.02,увидеть, гл сов перех инф ,66538,UVIDET',7,УВИДЕТЬ,7,True
164,587.44,46.08,сила, сущ неод ед жен им ,17991,SILA,4,СИЛА,4,True
165,584.44,46.14,отец, сущ одуш ед муж им ,135505,OTETS,5,ОТЕЦ,4,True
166,584.32,46.2,женщина, сущ одуш ед жен им ,5759,ZHENSCHINA,10,ЖЕНЩИНА,7,True
167,581.38,46.26,машина, сущ неод ед жен им ,9821,MASHINA,7,МАШИНА,6,True
168,579.24,46.31,случай, сущ неод ед муж им ,140249,SLUCHAJ,7,СЛУЧАЙ,6,True
169,577.71,46.37,ночь, сущ неод ед жен им ,12161,NOCH',5,НОЧЬ,4,True
170,573.12,46.43,сразу, нар опред спос ,205583,SRAZU,5,СРАЗУ,5,False
171,569.14,46.49,мир, сущ неод ед муж им ,28299,MIR,3,МИР,3,True
172,564.0,46.54,совсем, нар опред степ ,205498,SOVSEM,6,СОВСЕМ,6,False
173,560.75,46.6,остаться, гл сов непер воз инф ,188312,OSTAT'SJA,9,ОСТАТЬСЯ,8,True
174,558.55,46.65,об, предл пр ,206899,OB,2,ОБ,2,True
175,557.57,46.71,вид, сущ неод ед муж им ,23745,VID,3,ВИД,3,True
176,552.73,46.76,выйти, гл сов непер инф ,59040,VYJTI,5,ВЫЙТИ,5,True
177,546.0,46.82,дать, гл сов пер/не инф ,71854,DAT',4,ДАТЬ,4,True
178,530.39,46.87,работать, гл несов пер/не инф ,64900,RABOTAT',8,РАБОТАТЬ,8,True
179,529.23,46.93,любить, гл несов перех инф ,61033,LJUBIT',7,ЛЮБИТЬ,6,True
180,528.25,46.98,старый, прл ед муж им ,56154,STARYJ,6,СТАРЫЙ,6,True
181,522.5,47.03,почти, нар опред степ ,204292,POCHTI,6,ПОЧТИ,5,True
182,521.21,47.08,ряд, сущ неод ед муж им ,32169,RJAD,4,РЯД,3,True
183,516.8,47.13,оказаться, гл сов непер воз инф ,188177,OKAZAT'SJA,10,ОКАЗАТЬСЯ,9,True
184,515.95,47.19,начало, сущ неод ед ср им ,40601,NACHALO,7,НАЧАЛО,6,True
185,512.58,47.24,твой, мест прил ед муж им ,4013689,TVOJ,4,ТВОЙ,4,True
186,510.99,47.29,вопрос, сущ неод ед муж им ,23937,VOPROS,6,ВОПРОС,6,True
187,508.48,47.34,много, числ неопр им ,4016616,MNOGO,5,МНОГО,5,True
188,506.89,47.39,война, сущ неод ед жен им ,3275,VOJNA,5,ВОЙНА,5,True
189,506.09,47.44,снова, нар опред спос ,205459,SNOVA,5,СНОВА,5,False
190,503.46,47.49,ответить, гл сов непер инф ,82194,OTVETIT',8,ОТВЕТИТЬ,8,True
191,498.44,47.54,между, предл тв ,4127905,MEZHDU,6,МЕЖДУ,5,True
192,498.26,47.59,подумать, гл сов пер/не инф ,63097,PODUMAT',8,ПОДУМАТЬ,8,True
193,494.03,47.64,опять, нар опред спос ,202849,OPJAT',6,ОПЯТЬ,5,True
194,493.36,47.69,белый, прл ед муж им ,46972,BELYJ,5,БЕЛЫЙ,5,True
195,493.3,47.74,деньги, сущ неод мн им ,1407856,DEN'GI,6,ДЕНЬГИ,6,True
196,490.91,47.79,значить, гл несов пер/не инф ,60453,ZNACHIT',8,ЗНАЧИТЬ,7,True
197,478.67,47.84,про, предл вин ,4127924,PRO,3,ПРО,3,True
198,477.51,47.88,лишь, част ,207520,LISH',5,ЛИШЬ,4,True
199,474.87,47.93,минута, сущ неод ед жен им ,10193,MINUTA,6,МИНУТА,6,True
200,473.04,47.98,жена, сущ одуш ед жен им ,5741,ZHENA,5,ЖЕНА,4,True
201,468.69,48.02,посмотреть, гл сов пер/не инф ,63628,POSMOTRET',10,ПОСМОТРЕТЬ,10,True
202,468.51,48.07,правда, сущ неод ед жен им ,15231,PRAVDA,6,ПРАВДА,6,True
203,467.77,48.12,главный, прл ед муж им ,48232,GLAVNYJ,7,ГЛАВНЫЙ,7,True
204,467.04,48.16,страна, сущ неод ед жен им ,19209,STRANA,6,СТРАНА,6,False
205,463.86,48.21,свет, сущ неод ед муж им ,32373,SVET,4,СВЕТ,4,False
206,463.49,48.26,ждать, гл несов пер/не инф ,59830,ZHDAT',6,ЖДАТЬ,5,True
207,463.24,48.3,мать, сущ одуш ед жен им ,151287,MAT',4,МАТЬ,4,True
208,462.2,48.35,как будто, союз ,207145,KAK BUDTO,9,КАК БУДТО,9,True
209,460.92,48.4,никогда, нар опред степ ,202661,NIKOGDA,7,НИКОГДА,7,True
210,460.24,48.44,товарищ, сущ одуш ед муж им ,141530,TOVARISCH,9,ТОВАРИЩ,7,True
211,458.16,48.49,дорога, сущ неод ед жен им ,5231,DOROGA,6,ДОРОГА,6,True
212,453.45,48.53,однако, союз ,207216,ODNAKO,6,ОДНАКО,6,True
213,444.21,48.58,лежать, гл несов непер инф ,60957,LEZHAT',7,ЛЕЖАТЬ,6,True
214,442.25,48.62,именно, част ,207486,IMENNO,6,ИМЕННО,6,True
215,441.58,48.67,окно, сущ неод ед ср им ,41285,OKNO,4,ОКНО,4,False
216,438.39,48.71,никакой, мест прил ед муж им ,4014343,NIKAKOJ,7,НИКАКОЙ,7,True
217,435.52,48.75,найти, гл сов пер/не инф ,177803,NAJTI,5,НАЙТИ,5,True
218,431.78,48.8,писать, гл несов пер/не инф ,62719,PISAT',6,ПИСАТЬ,6,True
219,420.89,48.84,комната, сущ неод ед жен им ,7967,KOMNATA,7,КОМНАТА,7,False
220,417.21,48.88,часть, сущ неод ед жен им ,21813,CHAST',6,ЧАСТЬ,5,True
221,414.52,48.92,вообще, нар опред спос ,4104855,VOOBSCHE,8,ВООБЩЕ,6,True
222,414.28,48.96,книга, сущ неод ед жен им ,7703,KNIGA,5,КНИГА,5,True
223,411.52,49.0,маленький, прл ед муж им ,51019,MALEN'KIJ,9,МАЛЕНЬКИЙ,9,True
224,410.79,49.05,улица, сущ неод ед жен им ,160032,ULITSA,6,УЛИЦА,5,True
225,408.58,49.09,решить, гл сов перех инф ,65320,RESHIT',7,РЕШИТЬ,6,True
226,405.77,49.13,далекий, прл ед муж им ,48573,DALEKIJ,7,ДАЛЕКИЙ,7,True
227,402.03,49.17,душа, сущ неод ед жен им ,5507,DUSHA,5,ДУША,4,True
228,399.95,49.21,чуть, нар опред степ ,206398,CHUT',5,ЧУТЬ,4,True
229,399.83,49.25,вернуться, гл сов непер воз инф ,185917,VERNUT'SJA,10,ВЕРНУТЬСЯ,9,True
230,398.3,49.29,утро, сущ неод ед ср им ,45857,UTRO,4,УТРО,4,False
231,397.99,49.33,некоторый, мест прил ед муж им ,4014485,NEKOTORYJ,9,НЕКОТОРЫЙ,9,True
232,396.22,49.37,считать, гл несов перех инф ,182270,SCHITAT',8,СЧИТАТЬ,7,True
233,393.4,49.41,сколько, числ неопр им ,4016644,SKOL'KO,7,СКОЛЬКО,7,True
234,392.91,49.45,помнить, гл несов пер/не инф ,63418,POMNIT',7,ПОМНИТЬ,7,True
235,391.01,49.48,вечер, сущ неод ед муж им ,23691,VECHER,6,ВЕЧЕР,5,True
236,390.53,49.52,пол, сущ неод ед муж им ,30483,POL,3,ПОЛ,3,True
237,389.06,49.56,таки, част ,207659,TAKI,4,ТАКИ,4,True
238,388.81,49.6,получить, гл сов перех инф ,63376,POLUCHIT',9,ПОЛУЧИТЬ,8,True
239,388.26,49.64,народ, сущ неод ед муж им ,28779,NAROD,5,НАРОД,5,True
240,385.14,49.68,плечо, сущ неод ед ср им ,42071,PLECHO,6,ПЛЕЧО,5,True
241,383.06,49.72,хоть, част ,207705,HOT',4,ХОТЬ,4,True
242,378.59,49.75,сегодня, нар обст врем ,205246,SEGODNJA,8,СЕГОДНЯ,7,True
243,376.63,49.79,бог, сущ одуш ед муж им ,23163,BOG,3,БОГ,3,True
244,376.57,49.83,вместе, нар опред спос ,199233,VMESTE,6,ВМЕСТЕ,6,False
245,372.41,49.87,взгляд, сущ неод ед муж им ,23703,VZGLJAD,7,ВЗГЛЯД,6,True
246,370.88,49.9,ходить, гл несов непер инф ,67132,HODIT',6,ХОДИТЬ,6,True
247,369.65,49.94,зачем, нар вопр ,200452,ZACHEM,6,ЗАЧЕМ,5,True
248,368.8,49.98,советский, прл ед муж им ,55859,SOVETSKIJ,9,СОВЕТСКИЙ,9,True
249,367.39,50.01,русский, прл ед муж им ,55184,RUSSKIJ,7,РУССКИЙ,7,True
250,362.12,50.05,бывать, гл несов непер инф ,58326,BYVAT',6,БЫВАТЬ,6,True
251,362.06,50.09,полный, прл ед муж им ,53929,POLNYJ,6,ПОЛНЫЙ,6,True
252,360.78,50.12,палец, сущ неод ед муж им ,135713,PALETS,6,ПАЛЕЦ,5,True
253,360.78,50.16,прийти, гл сов непер инф ,4108028,PRIJTI,6,ПРИЙТИ,6,True
254,358.88,50.2,россия, сущ неод ед жен им ,4152719,ROSSIJA,7,РОССИЯ,6,True
255,357.29,50.23,любой, мест прил ед муж им ,4014117,LJUBOJ,6,ЛЮБОЙ,5,True
256,352.82,50.27,история, сущ неод ед жен им ,149144,ISTORIJA,8,ИСТОРИЯ,7,True
257,351.84,50.3,наконец, нар обст врем ,201786,NAKONETS,8,НАКОНЕЦ,7,True
258,351.35,50.34,мысль, сущ неод ед жен им ,10613,MYSL',5,МЫСЛЬ,5,True
259,350.37,50.37,узнать, гл сов пер/не инф ,66664,UZNAT',6,УЗНАТЬ,6,True
260,350.06,50.41,назад, нар обст напр ,201761,NAZAD,5,НАЗАД,5,True
261,350.0,50.44,общий, прл ед муж им ,52894,OBSCHIJ,7,ОБЩИЙ,5,True
262,349.88,50.48,заметить, гл сов пер/не инф ,60173,ZAMETIT',8,ЗАМЕТИТЬ,8,True
263,346.64,50.51,словно, союз ,207290,SLOVNO,6,СЛОВНО,6,True
264,346.45,50.55,прошлый, прл ед муж им ,54629,PROSHLYJ,8,ПРОШЛЫЙ,7,True
265,345.96,50.58,уйти, гл сов непер инф ,66678,UJTI,4,УЙТИ,4,True
266,345.72,50.62,известный, прл ед муж им ,49703,IZVESTNYJ,9,ИЗВЕСТНЫЙ,9,True
267,345.29,50.65,давно, нар обст врем ,199796,DAVNO,5,ДАВНО,5,True
268,345.17,50.68,слышать, гл несов пер/не инф ,65677,SLYSHAT',8,СЛЫШАТЬ,7,True
269,343.82,50.72,слушать, гл несов пер/не инф ,65670,SLUSHAT',8,СЛУШАТЬ,7,True
270,338.19,50.75,бояться, гл несов непер воз инф ,196181,BOJAT'SJA,9,БОЯТЬСЯ,7,True
271,336.84,50.79,сын, сущ одуш ед муж им ,33579,SYN,3,СЫН,3,True
272,335.99,50.82,нельзя, предик ,208728,NEL'ZJA,7,НЕЛЬЗЯ,6,True
273,335.19,50.85,прямо, нар опред кач ,204678,PRJAMO,6,ПРЯМО,5,True
274,333.11,50.89,долго, нар опред кач ,200032,DOLGO,5,ДОЛГО,5,True
275,332.31,50.92,быстро, нар опред кач ,198784,BYSTRO,6,БЫСТРО,6,True
276,331.89,50.95,лес, сущ неод ед муж им ,27549,LES,3,ЛЕС,3,True
277,328.64,50.99,похожий, прл ед муж им ,54154,POHOZHIJ,8,ПОХОЖИЙ,7,True
278,328.52,51.02,пора, предик ,208949,PORA,4,ПОРА,4,True
279,328.34,51.05,пять, числ кол им ,4015067,PJAT',5,ПЯТЬ,4,True
280,326.25,51.08,глядеть, гл несов пер/не инф ,59375,GLJADET',8,ГЛЯДЕТЬ,7,True
281,324.42,51.12,оно, мест сущ ед ср им ,46373,ONO,3,ОНО,3,False
282,324.36,51.15,имя, сущ неод ед ср им ,46301,IMJA,4,ИМЯ,3,True
283,324.36,51.18,сесть, гл сов непер инф ,66293,SEST',5,СЕСТЬ,5,True
284,321.85,51.21,ж, част ,207467,ZH,2,Ж,1,True
285,321.3,51.25,разговор, сущ неод ед муж им ,31599,RAZGOVOR,8,РАЗГОВОР,8,True
286,319.64,51.28,тело, сущ неод ед ср им ,45263,TELO,4,ТЕЛО,4,True
287,317.81,51.31,молодой, прл ед муж им ,51424,MOLODOJ,7,МОЛОДОЙ,7,True
288,317.5,51.34,стена, сущ неод ед жен им ,19101,STENA,5,СТЕНА,5,False
289,316.64,51.37,красный, прл ед муж им ,50513,KRASNYJ,7,КРАСНЫЙ,7,True
290,315.54,51.4,читать, гл несов пер/не инф ,67216,CHITAT',7,ЧИТАТЬ,6,True
291,314.26,51.44,право, сущ неод ед ср им ,42665,PRAVO,5,ПРАВО,5,True
292,313.64,51.47,старик, сущ одуш ед муж им ,33249,STARIK,6,СТАРИК,6,True
293,313.46,51.5,ранний, прл ед муж им ,54884,RANNIJ,6,РАННИЙ,6,True
294,312.67,51.53,хотеться, гл несов непер воз инф безл ,193038,HOTET'SJA,9,ХОТЕТЬСЯ,8,True
295,311.01,51.56,мама, сущ одуш ед жен им ,9557,MAMA,4,МАМА,4,False
296,310.58,51.59,оставаться, гл несов непер воз инф ,196515,OSTAVAT'SJA,11,ОСТАВАТЬСЯ,10,True
297,310.34,51.62,высокий, прл ед муж им ,48072,VYSOKIJ,7,ВЫСОКИЙ,7,True
298,308.75,51.65,путь, сущ неод ед муж им ,46343,PUT',4,ПУТЬ,4,True
299,308.26,51.68,поэтому, нар обст причин ,204304,POETOMU,7,ПОЭТОМУ,7,True
